canonical_name,match_type,tiers_present,total_mentions,document_count,profiles_present,covered,excluded,unknown,phrase_count,sentence_count,parent_headers
Psychological testing,exact,2,92,14,ppo_medical,26,66,0,92,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Any difference between the Maximum Allowable Cost and BCBSM’s approved amount for a covered brand-name drug,exact,2,66,14,ppo_medical,0,66,0,0,66,Prescription Drugs
Drugs obtained from an out-of-network mail order provider.,exact,2,65,14,ppo_medical,0,65,0,65,0,Prescription Drugs
Individual psychotherapeutic treatment,exact,2,64,14,ppo_medical,13,51,0,64,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Family counseling,exact,2,64,14,ppo_medical,13,51,0,64,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Group psychotherapeutic treatment,exact,2,64,14,ppo_medical,13,51,0,64,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Consultations required by a facility’s or program’s rules,exact,2,52,13,ppo_medical,0,52,0,0,52,Behavioral Health Services (Mental Health and Substance Use Disorder)
Marital counseling,exact,2,52,13,ppo_medical,0,52,0,52,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Prescribed drugs given by the hospital or facility during the member’s treatment,exact,2,52,13,ppo_medical,0,52,0,0,52,Behavioral Health Services (Mental Health and Substance Use Disorder)
Physical therapy,exact,"1,2",50,14,ppo_medical,50,0,0,50,0,Autism Spectrum Disorders | Dental Services | Home Health Care Services
Ancillary services,exact,"2,3",50,14,ppo_medical,0,37,13,37,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Durable medical equipment,exact,"1,2",45,20,"csr_rider,ppo_medical",45,0,0,45,0,BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements
Amounts that exceed our approved amount for covered drugs or out-of-network retail penalty amounts.,exact,2,43,14,ppo_medical,0,43,0,0,43,Prescription Drugs
Therapy billed as a rehabilitative service when it does not meet the definition of rehabilitative service in this certificate,exact,2,42,14,ppo_medical,0,42,0,0,42,Occupational Therapy | Physical Therapy | Speech Language Therapy
"Services provided by a freestanding facility in a home, hospital, skilled nursing facility, or residential substance abuse treatment facility",exact,2,42,14,ppo_medical,0,42,0,0,42,Occupational Therapy | Physical Therapy | Speech Language Therapy
Recreational therapy,exact,2,42,14,ppo_medical,0,42,0,42,0,Occupational Therapy | Physical Therapy | Speech Language Therapy
Member education and home programs,exact,2,42,14,ppo_medical,0,42,0,42,0,Occupational Therapy | Physical Therapy | Speech Language Therapy
Infusion of colony stimulating growth factors,exact,2,39,13,ppo_medical,39,0,0,39,0,Oncology Clinical Trials | Transplant Services
